Column1,Column2
peculiar,"своеобразный, специфический, особенный, личная собственность"
peculiarity,"особенность, странность, специфичность, характерная черта, личное качество"
peculiarize,придавать индивидуальность
peculiarly,"особенно, странно, лично, больше обычного"
pecuniarily,в денежном отношении
pecuniary,"денежный, финансовый, облагаемый штрафом, ищущий выгоды"
pecunious,"богатый, денежный"
ped,"плетеная корзинка, корзинка с крышкой, пешеход, естественный почвенный агрегат"
pedagog,"педагог, учитель, педант"
pedagogic,педагогический
pedagogical,педагогический
pedagogics,педагогика
pedagogism,педагогическая деятельность
pedagogue,"педагог, учитель, педант"
pedagoguism,педагогическая деятельность
pedagogy,педагогика
pedal,"педаль, ножной рычаг, педальный, ножной, работать педалями"
pedaler,велосипедист
pedalist,велосипедист
pedalo,"водный велосипед, морской или водный велосипед"
pedant,"педант, доктринер, педантство"
pedantic,педантичный
pedantical,педантичный
pedanticism,педантизм
pedantism,педантизм
pedantry,"педантизм, педантичность"
pedate,"лапчатый, имеющий ноги"
peddle,"торговать вразнос, размениваться на мелочи, заниматься мелочами"
peddler,"разносчик, коробейник, сплетник, торговец мелким товаром, разносчик сплетен"
peddlery,"мелкий товар, торговля вразнос, товары уличного торговца"
peddling,"мелочный, несущественный, пустяковый, мелочная торговля"
pederast,педераст
pederasty,педерастия
pedestal,"пьедестал, подставка, основание, цоколь, водружать на пьедестал"
pedestrial,"пешеходный, пеший, пешеход"
pedestrian,"пешеходный, пеший, скучный, прозаический, пешеход"
pedestrianism,"ходьба, спортивная ходьба, прозаичность"
pedestrianization,запрещение автомобильного движения в некоторых городских районах
pedestrianize,"район в пешеходную зону, районе, ходить пешком, гулять"
pedi-,в сложных словах имеет значение нога
pediatric,педиатрический
pediatrician,"педиатр, детский врач"
pediatrics,педиатрия
pediatry,педиатрия
pedicab,велорикша
pedicel,"ножка, цветоножка, стебелек"
pedicellate,"черешковый, стеблевой, стебельковый, стебельчатый, педункулярный"
pedicle,"ножка, цветоножка, стебелек, стебель"
pedicular,вшивый
pediculation,"вшивость, педикулез, овшивение, формирование ножки"
pediculosis,"педикулез, вшивость"
pediculous,вшивый
pediculus,"вшивый, зараженный вшами"
pedicure,"педикюр, педикюрша, делать педикюр"
pedicurist,"мастер по педикюру, делающий педикюр, педикюрша"
pedigree,"родословная, происхождение, генеалогия, племенной"
pedigreed,породистый
pedimanous,руконогий
pediment,"фронтон, щипец, сандрик"
pedimental,"фронтонный, имеющий характер фронтона, вертикальный"
pedlar,"разносчик, коробейник, торговец мелким товаром, сплетник, разносчик сплетен"
pedlary,"торговля вразнос, товары уличного торговца, мелкий товар"
pedler,"разносчик, коробейник, торговец мелким товаром, сплетник, разносчик сплетен"
pedlery,"торговля вразнос, товары уличного торговца, мелкий товар"
pedodontics,детская стоматология
pedogenesis,"почвообразовательный процесс, процесс почвообразования, педогенез, генезис почвы"
pedological,"почвенный, педологический"
pedologist,"почвовед, педолог"
pedology,"почвоведение, педология"
pedometer,"шагомер, педометр"
pedophile,педофил
pedophilia,"педофилия, половое влечение к малолетним"
pedotheque,собрание образцов почв
peduncle,"плодоножка, цветоножка"
peduncular,"снабженный стебельком, снабженный ножкой"
pedunculate,"снабженный стебельком, снабженный ножкой"
pedunculated,имеющий ножку
pee,"моча, мочеиспускание, мочиться, сикать, испускать мочу"
peebles,"Пиблс, Пиблс, Пибл"
peek,"быстрый взгляд, взгляд украдкой, заглядывать"
peekaboo,игра в прятки
peel,"кожура, корка, кожица, шелуха, лопатка, чистить, очищать, шелушить, шелушиться"
peel off,"авиа выходить из общего строя, раздеваться, снимать одежду, снимать, скидывать"
peeled,"очищенный, ободранный, изношенный, обветшалый, лишенный растительности, голый"
peeler,"шелушильная машина, энергичный человек, полицейский"
peeling,"пилинг, шелушение, отслаивание, шелуха, кожа, корка, десквамация"
peelings,"очистки, лузга, шелуха"
peen,"боек, рихтовать"
peenge,"ныть, хныкать, жаловаться ноющим голосом, жаловаться хныкающим голосом"
peep,"пищать, подглядывать, заглядывать, писк, щель, взгляд украдкой"
peep out,"выглядывать, проявляться"
peep-hole,"смотровое отверстие или смотровая щель, глазок, смотровая щель"
peep-show,пип-шоу
peep-toe,с открытым носком
peeper,"подсматривающий, подсматривающий, частный детектив"
peephole,"глазок, смотровое отверстие, смотровая щель"
peeping,"выглядывающий, высматривающий, заглядывание"
peepshow,"кинетоскоп, пип-шоу"
peer,"равный, пэр, ровня, лорд, всматриваться"
peer-reviewed,"направляемый на экспертную оценку, рецензируемый специалистами в данной области"
peerage,"звание пэра, знать, сословие пэров, книга пэров"
peeress,"супруга пэра, леди"
peerless,"несравненный, бесподобный"
peery,"пытливый, любопытный, подозрительный, недоверчивый"
peet,расчетное затраченное время
peetweet,улит пятнистый
peeve,"раздражать, раздражаться, надоедать, жалоба, досада, раздражение"
peeved,раздраженный
peevish,"раздражительный, капризный, брюзгливый, сварливый, неуживчивый"
peevishness,"сварливость, раздражительность"
peewee,"человек маленького роста, маленькое животное, маленький стеклянный шарик"
peewit,"чибис, пигалица"
peg,"колышек, колок, вешалка, крючок, пег, затычка, прикреплять колышком, целиться, бросать"
peg away,"корпеть, упорно работать, упорно добиваться, настойчиво добиваться"
peg down,"закреплять колышками, связывать, ограничивать, прикреплять колышком, стеснять"
peg out,"подыхать, отмечать колышками, умереть, прикреплять колышком"
peg-top,"юла, волчок"
pegamoid,пегамоид
Pegasus,"Пегас, поэтическое вдохновение"
pegging,"колья, материал для кольев, закрепление колышками, закрепление кольями"
peggy,"баба, тряпка, мальчик на побегушках, зуб"
pegleg,деревянная нога
pegmatite,пегматит
peignoir,пеньюар
peiping,"Бейпин, Бэйпин"
pejorate,"ухудшать, делать хуже, ухудшаться, делаться хуже"
pejorative,"уничижительный, бранный, бранное слово, пейоративное слово"
peke,пекинес
pekie,Пекин
Pekinese,"пекинес, китайский мопс, житель Пекина, пекинский"
peking,пекинский
Pekingese,"пекинес, китайский мопс, житель Пекина, пекинский"
pekoe,высший сорт черного чая
pelage,"шерсть, мех, волосяной покров, меховой покров, шкура"
pelagian,"пелагический, морской"
pelagic,"пелагический, морской, океанический"
pelagite,пелагит
pelamid,"атлантическая пеламида, молодь тунца, рыба семейства скумбриевых"
pelamyd,"атлантическая пеламида, молодь тунца, рыба семейства скумбриевых"
pelargonium,"пеларгония, герань"
pelecoid,"топоровидный, имеющий форму боевого топора"
pelerine,пелерина
pelf,"богатство, деньги, презренный металл"
pelican,пеликан
pelike,широкогорлая амфора
pelisse,"ротонда, гусарский ментик, длинная мантилья, детское пальто"
pelite,пелит
pelitic,"пелитовый, мелкозернистый, глинистый"
pell,"сверток пергамента, пергамент, денежные расписки, отдел казначейства"
pell-mell,"путаница, неразбериха, беспорядочно, вперемешку, беспорядочный"
pellagra,пеллагра
pellet,"гранула, шарик, пуля, пулька, дробинка, обстреливать"
pelletize,"гранулировать, зернить, придавать форму шарика, катышка, гранулироваться"
pelletron,пелетрон
pellicle,"пленка, плева, кожица"
pellitory,"постенница, огневица"
pellmell,"беспорядочно, вперемешку, путаница, неразбериха, беспорядочный, путаный"
pellucid,"прозрачный, понятный, ясный"
pelmet,ламбрекен
peloponnesus,"Пелопоннес, полуостров в Греции, пелопонесский"
peloria,"пелорий, пелория"
pelorus,"пелорус, секстант"
pelota,пелота
pelt,"шкура, кожа, швыряние, человеческая кожа, забрасывать, бросать, бросаться"
pelta,"щиток, щитовидный апотеций, греческий или римский легкий щит"
peltate,щитовидный
pelter,"ружье, пистолет, проливной дождь, ринуться, броситься, колотить, бить"
pelting,проливной
peltry,"пушнина, меха, шкурка пушного зверя"
peltry-ware,пушнина
pelves,"таз, лоханка, почечная лоханка"
pelvic,тазовый
pelvis,"таз, лоханка, почечная лоханка"
pemba,"Пемба, остров в Индийском океане"
pembroke,Пембрук
pembrokeshire,"Пембрук, Пембрукшир"
pemican,"пеммикан, вяленое мясо"
pemmican,"пеммикан, вяленое мясо"
pemphigus,"пузырчатка, пемфигус"
pen,"перо, ручка, авторучка, писатель, сочинять, запирать, заключать, загонять"
pen-and-ink,"нарисованный пером, написанный пером, сделанный пером, письменный"
pen-driver,"писака, канцелярист, клерк"
pen-feather,маховое перо
pen-name,литературный псевдоним
pen-pusher,"сочинитель, графоман, чернильная или бумажная душа, бумажный червь"
penal,"уголовный, карательный, каторжный, уголовник"
penality,"уголовно наказуемый поступок, наказуемость, наказание"
penalization,"штраф, наложение штрафа, браковка"
penalize,"наказывать, штрафовать, ставить в невыгодное положение, делать наказуемым"
penalty,"штраф, пенальти, наказание, взыскание, расплата"
penance,"покаяние, епитимья, наказание, раскаяние, налагать епитимью"
penannular,имеющий форму почти сомкнутого кольца
Penates,пенаты
pence,"пенни, пенс, однопенсовик, однопенсовая монета, цент, центовик, одноцентовая"
penchant,склонность
pencil,"карандаш, кисть, манера, стиль, рисовать, рисовать карандашом"
pencil-case,пенал
penciled,"карандаш, пишущий элемент, писать, записывать, карандашный"
pencilled,"подрисованный, тонко очерченный, подведенный"
pencilling,"рисование, рисунок карандашом"
pencraft,"искусство письма, литературный стиль"
pend,"зависеть, обусловливаться, арка, крытая галерея"
pendant,"подвеска, кулон, шкентель, брелок, подвес, подвесной, висячий, свисающий, нависающий"
pendency,"нерешенность, состояние неопределенности"
pendent,"подвеска, кулон, вымпел, брелок, шкентель, нерешенный, свисающий, незаконченный"
pendentives,паруса свода или купола
pendicle,"придаток, дополнение, субаренда, часть усадьбы"
pending,"в ожидании, вплоть до, в течение, ожидаемый, ожидающий решения"
pendular,"маятниковый, с маятниковой подвеской"
pendulate,"колебаться, качаться"
pendulous,"подвесной, отвислый, висячий, отвисший, качающийся, висящий"
pendulum,"маятник, неустойчивый человек, неустойчивый предмет"
Penelope,"Пенелопа, верная жена"
peneplain,"пенеплен, предельная равнина"
penes,"пенис, половой член, хуй, хер, стручок"
penetrability,проницаемость
penetrable,проницаемый
penetralia,"тайники, святилище"
penetrance,"проницаемость, пенетрантность, проникание"
penetrant,"проникающий, проходящий, проницательный, смачивающий реагент, смачивающее"
penetrate,"проникать, проходить, вникать, проникать внутрь, пронизывать, входить"
penetrating,"проникающий, пронзительный, проницательный, прозорливый, острый, пенетрирующий"
penetration,"проникновение, проникание, проницаемость, распространение, прорыв, вторжение"
penetrative,"проникающий, резкий, проницательный, пронзительный"
penetrator,"самолет противника, вторгшийся в воздушное пространство пост, нарушитель"
penetrometer,"пенетрометр, дефектометр"
penghu,"Пэнху, острова в Тайваньском проливе"
penguin,пингвин
penholder,"ручка, ручка для пера"
penicillin,пенициллин
penicillus,"пучок волосков, щетинок, кисточка"
penile,"относящийся к мужскому половому члену, относящийся к половому члену"
penill,относящийся к половому члену
peninsula,полуостров
peninsular,"полуостровной, житель полуострова"
penis,"пенис, половой член, хуй, хер, стручок"
penitence,"покаяние, раскаяние"
penitent,"кающийся, раскаивающийся, кающийся грешник"
penitential,покаянный
penitentiary,"пенитенциарный, исправительный, пенитенциарий, исправительный дом"
penknife,перочинный нож
penman,"писец, каллиграф, писатель"
penmanship,"чистописание, почерк, каллиграфия, манера писателя, стиль писателя"
penmate,собрат по перу
penn'orth,грошовый
penna,"контурное перо, пенна"
pennaceous,относящийся к контурному перу
pennant,"вымпел, флаг, флажок, знамя, шкентель, висячий"
pennies,"пенни, пенс, стоимостью в один пенс или один цент"
penniless,"без гроша, бедный, безденежный, нуждающийся"
pennon,"вымпел, флажок, флаг"
pennsylvania,"Пенсильвания, штат США"
penny,"пенни, пенс, монета в 1 цент"
penny-a-line,"халтурный, низкопробный"
penny-a-liner,наемный писака
penny-dog,"акула, морская собака, кунья акула"
penny-in-the-slot,"торговый автомат, автомат для продажи штучных товаров"
penny-in-the-slot machine,"торговый автомат, автомат для продажи штучных товаров"
penny-pinching,"скупость, скупой, скаредный"
penny-trumpet,дудочка
penny-wise,мелочный
penny-worth,"количество товара, пенни, некоторое количество, сумма, сделка, полученная выгода"
pennyroyal,"мята болотная, блоховник"
pennystone,"сферосидерит, глинистый железняк"
pennyweight,пеннивейт
pennywort,"щитолистник, водолюб"
pennyworth,"грошовый, что-либо, стоящее один пенс"
penology,"пенология, наука о наказаниях и тюрьмах"
penoplasty,пластическая операция на мужском половом члене
penpusher,"чинуша, писака, писарь"
pensacola,"Пенсакола, город в США"
penscript,"написанный от руки, рукописный текст, текст"
pensee,"изречение, афоризм, максима"
pensile,"висячий, свисающий, строящий висячие гнезда"
pension,"пенсия, пансионат, пансион, пособие, назначать пенсию, субсидировать"
pension off,увольнять на пенсию
pensionable,"дающий право на пенсию, имеющий право на пенсию"
pensionary,"пенсионный, пенсионер, наемник"
pensioner,"пенсионер, наемник"
pensionnaire,"пансионер, во французском пансионе, на мелких ролях"
pensive,"задумчивый, печальный, меланхоличный"
pensively,"задумчиво, созерцательно, печально, меланхолично"
pensiveness,"задумчивость, печаль, меланхолия"
penstock,"затвор, напорный трубопровод, шлюз, напорный водовод, шлюзный затвор"
pent,"заключенный, запертый, поля шляпы"
pent-up,сдерживаемый
penta-,компонент сложных слов
pentabasic,"пятиосновный, пятиатомный"
pentachord,пентахорд
pentacle,"магическая фигура, пентакл, пентакль"
pentad,"пятивалентный элемент, группа из пяти, число пять"
pentadome,надувное тканевое укрытие для проверки и обслуживания ракет
pentagon,"пятиугольник, пентагон, американская военщина"
pentagonal,пятиугольный
pentagram,пентаграмма
pentagrid,"пентагрид, гептод"
pentahedral,пятигранный
pentahedron,"пятигранник, пентаэдр"
pentamerous,"пятичленный, разделенный, на пять частей"
pentameter,пентаметр
pentane,пентан
pentangular,пятиугольный
pentapetalous,пятилепестковый
pentastichous,пятирядный
pentastyle,пентастиль
pentasyllabic,пятисложный
pentasyllable,пятисложное слово
Pentateuch,Пятикнижие
pentathlon,пятиборье
pentatomic,"пятичленный, пятиатомный"
pentatonic,"пентатонный, о звукоряде"
pentatonism,"использование звукоряда из пяти тонов, пентатоника"
pentavalent,"пятивалентный, пятиатомный"
Pentecost,"пятидесятница, Троицын день"
Pentecostal,относящийся к Троице
penthouse,"пентхауз, навес, особняк, надстройка на крыше, навес над дверями, тент"
penthrite,пентрит
pentlandite,"пентландит, никелевый колчедан"
pentode,"пентод, пятиэлектродная лампа"
pentolite,пентолит
pentoxide,"пятиокись, пентоксид"
penult,"предпоследний слог, предпоследний"
penultima,предпоследний слог
penultimate,"предпоследний, предпоследний слог"
penumbra,"полутень, полусвет"
penurious,"бедный, скупой, скудный"
penuriously,"скудно, в бедности, скупо, скаредно, скудно, мало"
penury,"бедность, нужда, недостаток, отсутствие, крайняя бедность"
penwiper,перочистка
penwoman,"писательница, каллиграф"
penza,"Пенза, город в европейской части РФ, пензенский"
peon,"пеон, батрак, пехотинец, полицейский, вестовой, поденщик"
peonage,"кабала, батрачество, подневольный труд пеонов"
peony,пион
people,"люди, народ, население, жители, нация, населять, заселять, расти"
peopled,населенный
peopleless,"необитаемый, безлюдный"
peoria,"Пеория, город в США"
pep,"бодрость духа, энергия, живость, стимулировать, подгонять, оживлять"
pep up,"стимулировать, вселять бодрость, оживлять, взбадривать"
pepino,"пепино, дынная груша"
peplum,"баска, длинная баска"
pepo,"тыквенное семя, тыква, тыквина"
pepper,"перец, живость, едкость, перцовый, поперчить, перчить, усыпать"
pepper-and-salt,"крапчатая шерстяная материя, крапчатый, с проседью"
pepper-caster,перечница
pepper-castor,перечница
pepper-pot,перечница
pepperbox,"перечница, вспыльчивый человек, башенка"
peppercorn,"перчинка, зернышко перца"
pepperidge,"нисса, барбарис"
peppermint,"мята перечная, мятная лепешка, мятный"
pepperwort,марсилия
peppery,"острый, наперченный, вспыльчивый, едкий, раздражительный"
peppiness,"живость, бодрость"
peppy,"бодрый, энергичный, в хорошем настроении"
pepsin,"пепсин, пищеварительный"
peptic,"пептический, пепсиновый, пепсин, пищеварительные органы"
peptide,пептид
peptization,пептизация
peptone,пептон
per,"в, за, на, по, с, согласно, через, посредством"
per-capita,"на человека, на душу населения"
peracid,"надкислота, перкислота"
peracidity,"повышенная кислотность, чрезмерная кислотность"
peracute,"весьма резкий, острый, острейший, бурный, резкий"
peradventure,"может быть, возможно, неизвестность"
perambulate,"расхаживать, катать коляску, ехать в детской коляске, обходить границы"
perambulation,"прогулка, ходьба, обход"
perambulator,"детская коляска, шагомер, одометр"
perborate,"перборат, надборнокислый"
perc,Федеральная комиссия по регулированию в области энергетики
percale,перкаль
percaline,перкалин
perceive,"воспринимать, чувствовать, ощущать, понимать, осознавать, постигать, усмотреть"
perceived,осознанный
perceiver,воспринимаемый
percent,процент
percentage,"процент, доля, часть, процентный"
percentagewise,в процентном отношении
percental,исчисляемый в процентах
percenter,"ростовщик, процентщик"
percentile,процентиль
percept,объект или результат перцепции
perceptibility,"ощутимость, воспринимаемость"
perceptible,"заметный, ощутимый, воспринимаемый, уловимый, различимый, познаваемый"
perception,"восприятие, ощущение, понимание, осознание, перцепция, сбор, завладение, получение"
perceptional,перцепционный
perceptive,"восприимчивый, воспринимающий"
perceptivity,"восприимчивость, понятливость"
perceptron,перцептрон
perceptual,"перцепционный, относящийся к восприятию"
perch,"окунь, насест, перч, жердь, взгромоздиться, садиться, усесться"
percha,гуттаперча
perchance,"случайно, возможно, может быть"
percheron,першерон
perchlorate,"перхлорат, соль хлорной кислоты, хлорнокислый"
perchloride,перхлорид
percipient,"воспринимающий, перципиент"
percoct,"прожаренный, проваренный, прожарить, проварить"
percoid,"относящийся к семейству окуневых, рыба из семейства окуневых"
percolate,"просачиваться, процедить, процеживать, фильтровать, перколировать"
percolation,"перколяция, просачивание, процеживание, фильтрование"
percolator,"перколятор, кофеварка, ситечко, фильтр, процеживатель, ситечко в кофейнике"
percurrent,простирающийся от основания к вершине
percuss,выстукивать
percussion,"ударный, взрывной, перкуссия, удар, ударные инструменты"
percussion-drill,"бурильный молоток, станок ударного бурения"
percussionist,ударник
percussive,ударный
percussor,перкуссионный молоток
percutaneous,подкожный
perdition,"погибель, гибель, проклятие, вечные муки"
perdu,притаившийся
perdue,"опасный пост, смелый солдат"
perdurable,"вечный, очень прочный, постоянный"
peregrin,"сапсан, обыкновенный сокол, чужеземный, заморский"
peregrinate,"путешествовать, странствовать, бродить, чужеземный"
peregrination,"странствие, странствование, путешествие"
peregrine,"сапсан, обыкновенный сокол, чужеземный, привезенный из-за границы"
peremptory,"императивный, безапелляционный, повелительный, властный, окончательный"
perennial,"многолетний, вечный, круглогодичный, многолетнее растение"
perennially,"вечно, постоянно, всегда"
perennity,"постоянство, многолетие"
perestroika,перестройка
perfect,"совершенствовать, идеальный, совершенный, перфект"
perfectibility,способность к совершенствованию
perfectible,способный к совершенствованию
perfecting,"совершенствование, завершение"
perfection,"совершенство, совершенствование, безупречность, завершение, верх, законченность"
perfectionism,"доктрина (морального) усовершенствования, высокая требовательность к себе и…"
perfectionist,"перфекционист, сторонник усовершенствования"
perfective,совершенный
perfectly,"отлично, совершенно, вполне, в совершенстве"
perfecto,перфекто
perfervid,"очень горячий, пылкий"
perficient,"действенный, действительный"
perfidious,"вероломный, предательский"
perfidy,"вероломство, предательство, измена"
perforate,"перфорированный, перфорировать, проникать"
perforated,"перфорированный, продырявленный, просверленный"
perforating,"перфорирование, сквозной"
perforation,"перфорация, отверстие, пробой, просверливание, пробивание отверстий"
perforative,"перфорированный, пробитый, легко пробиваемый, перфорируемый"
perforator,"перфоратор, сверло, сверлильный станок, бурав, дыропробивной станок"
perforce,"вынужденно, волей-неволей"
perform,"выполнять, исполнять, совершать, выступать, играть, проделать, представлять"
performance,"производительность, исполнение, эффективность, выполнение, деятельность"
performative,"выражающий выполнение приказания, пожелания, перформативный, перформатив"
performer,исполнитель
performing,"исполнительский, исполняемый, дрессированный, ученый"
perfume,"духи, аромат, благоухание, запах, душить, подушить, делать благоуханным"
perfumed,"ароматизированный, душистый, надушенный, благоуханный, благовонный"
perfumer,парфюмер
perfumery,"парфюмерия, парфюмерный"
perfunctory,"поверхностный, небрежный, формальный, невнимательный"
perfuse,"заливать, обрызгивать"
perfusion,"перфузия, опрыскивание"
pergameneous,пергаментный
pergana,"ферганский, Фергана"
pergelisol,вечная мерзлота
pergola,беседка из вьющихся растений
perhaps,"возможно, может быть, пожалуй, авось"
perhydrol,пергидроль
peri,"пери, красавица"
peri-,пери-
perianth,околоцветник
periapsides,периапсида
periapsis,периапсида
periapt,амулет
periastron,"периастрий, периастр"
periblast,"перибласт, наружный слой, бластодерма"
pericardia,"перикард, перикардий, околосердечная сумка"
pericardiac,"перикардиальный, относящийся к, окружающий сердце"
pericardial,"относящийся к перикарду, перикардиальный"
pericarditis,перикардит
pericardium,"перикард, перикардий, околосердечная сумка"
pericarp,"околоплодник, перикарпий"
pericentral,"перицентральный, расположенный вокруг центра"
pericentre,перицентр
pericentric,"сосредоточенный у центральной точки, перицентрический"
periclase,"периклаз, окись магния"
periclinal,"периклинальный, переклинальное"
pericrania,"надкостница черепа, перикраний, череп, мозг"
pericranium,"ум, надкостница черепа, череп, перикраний, мозг"
periderm,"перидерма, надкожица, эпитрихий"
peridia,"коварство, вероломство, гадость, мерзость, упорство, упрямство"
peridium,перидий
peridot,"перидот, оливин"
peridotite,перидотит
perigee,перигей
perihelia,перигелий
perihelion,перигелий
perijove,наиболее близкая к Юпитеру точка орбиты его спутников
peril,"опасность, риск, подвергать опасности"
perilous,"опасный, рискованный"
perilune,периселений
perimeter,"периметр, круговой"
perimetry,"периметрия, окружность"
perimorph,периморфоза
perimorphism,периморфизм
perinatal,перинатальный
perinatology,"перинатология, изучение процессов"
perinea,промежность
perineal,"промежностный, перинеальный"
perineum,промежность
perineuritis,периневрит
perineurium,периневрий
period,"период, время, точка, промежуток времени, тайм, эпоха, урок, пауза в конце периода"
periodate,"соль йодной кислоты, периодат, перйодат, йоднокислый, периодатный"
periodic,"периодический, циклический, риторический"
periodical,"периодический, журнал, периодическое издание"
periodically,"периодически, время от времени"
periodicity,"периодичность, повторяемость, частота, менструация"
periodont,"периодонт, околозубная ткань"
periodontal,"периодонтальный, околозубной"
periostea,"надкостница, периост"
periosteal,"периостальный, надкостничный, относящийся к надкостнице"
periosteum,надкостница
periostitis,"периостит, воспаление надкостницы"
peripatetic,"странствующий, внештатный, странник, странствующий торговец"
peripeteia,перипетия
peripetia,перипетия
peripheral,"периферийный, периферический, окружной, периферийное устройство"
periphery,"периферия, окружность, окраина"
periphrase,перефразировать
periphrases,"перифраз, перифраза"
periphrasis,"перифраз, перифраза"
periphrastic,"иносказательный, околичный, изобилующий перифразами"
periphrastically,"описательно, перифрастически, иносказательно"
periplast,"перипласт, центросома, эктоплазма"
peripteral,окруженный колоннами
periscian,заполярный
periscii,жители Заполярья
periscope,перископ
periscopic,перископический
perish,"погибать, гибнуть, умирать, губить, портить, портиться, страдать, изнурять"
perishable,"скоропортящийся, тленный, бренный, скоропортящийся товар или груз"
perished,погибший
perisher,"зануда, несносный тип"
perishing,"ужасный, сковывающий, отъявленный"
perisperm,"перисперм, питательная ткань"
perispheric,"шаровидный, сферический"
perispore,периспора
perissad,элемент с нечетной валентностью
peristalsis,перистальтика
peristaltic,перистальтический
peristome,"перистом, область, окружающая рот"
peristyle,"перистиль, внутренний двор"
perisystole,период между диастолией и систолой сердца
peritonaeum,брюшина
peritonea,брюшина
peritoneal,брюшинный
peritoneum,брюшина
peritonitis,"перитонит, воспаление брюшины"
periwig,парик
periwigged,"носящий парик, в парике"
periwinkle,"барвинок малый, литорина"
perjuration,клятвопреступление
perjure,"лжесвидетельствовать, нарушать клятву, давать ложное показание"
perjured,"клятвопреступный, виновный в клятвопреступлении"
perjurer,"клятвопреступник, лжесвидетель, клятвопреступница"
perjury,"лжесвидетельство, клятвопреступление, вероломство, нарушение клятвы"
perk,"воспрянуть духом, привилегия, приработок, высокомерный"
perkily,"самоуверенно, высокомерно"
perky,"веселый, самоуверенный, бойкий, дерзкий, наглый"
perlaceous,перламутровый
perler,"торговец жемчугом, ловец жемчуга, лодка, бот ловцов жемчуга или торговцев жемчугом"
perlite,"перлит, перлит, жемчужный блеск"
perlon,перлон
perlustrate,перлюстрировать
perm,"химическая завивка, перманент"
permafrost,вечная мерзлота
permalloy,пермаллой
permanence,"постоянство, неизменность, прочность"
permanency,"постоянство, неизменность, прочность, постоянная работа"
permanent,"постоянный, перманентный, бессменный, неизменный, долговременный, необратимый"
permanently,"постоянно, надолго, перманентно, непрерывно, неизменно"
permanganate,"перманганат, соль марганцовой кислоты"
permeability,проницаемость
permeable,"проницаемый, проходимый"
permeameter,"пермеаметр, прибор для измерения магнитных характеристик тел"
permeance,магнитная проводимость
permeant,проникающий
permeate,"проникать, распространяться, пропитывать, проходить сквозь"
permeation,проникание
Permian,"пермский, Пермь"
permissibility,"допустимость, позволительность"
permissible,"допустимый, позволительный"
permission,"разрешение, позволение"
permissive,"разрешающий, либеральный, позволяющий, терпимый, необязательный, дозволяющий"
permissiveness,вседозволенность
permit,"разрешение, пропуск, путевка, позволять, разрешать, допускать"
permittance,"электрическая емкость, разрешение, позволение"
permitted,"разрешенный, позволенный, дозволенный"
permitting,позволяющий
permittivity,"диэлектрическая проницаемость, диэлектрическая постоянная"
permutable,взаимозаменяемый
permutation,"перестановка, изменение, перемещение, перемена, метатеза"
permutator,"пермутатор, переключатель, механический выпрямитель"
permute,"переставлять, менять порядок"
permutite,пермутит
pern,осоед
pernancy,"вступление во владение, получение, завладение"
pernicious,"пагубный, вредный, гибельный"
pernickety,"привередливый, придирчивый, суетливый, разборчивый, щекотливый, тонкий"
perofskite,перовскит
perone,малоберцовая кость
peroneal,"малоберцовый, перонеальный, относящийся к малоберцовой кости"
